Month,Day,n_taxi
05,17,9156.0
05,18,8831.0
05,19,9032.0
05,20,9765.0
05,21,10494.0
05,22,8959.0
05,23,7293.0
05,24,9180.0
05,25,9195.0
05,26,9226.0
05,27,10060.0
05,28,11143.0
05,29,8799.0
05,30,8221.0
05,31,7980.0
06,01,10194.0
06,02,9437.0
06,03,10451.0
06,04,11514.0
06,05,9462.0
06,06,8376.0
06,07,10332.0
06,08,10190.0
06,09,10573.0
06,10,12262.0
06,11,13716.0
06,12,11159.0
06,13,9829.0
06,14,11178.0
06,15,10706.0
06,16,11233.0
06,17,12431.0
06,18,13047.0
06,19,11207.0
06,20,9152.0
06,21,12118.0
06,22,11706.0
06,23,11578.0
06,24,12632.0
06,25,13647.0
06,26,10449.0
06,27,9770.0
06,28,11259.0
06,29,11102.0
06,30,11553.0
07,01,11891.0
07,02,12241.0
07,03,10403.0
07,04,8732.0
07,05,10144.0
07,06,12232.0
07,07,12266.0
07,08,13458.0
07,09,15079.0
07,10,11859.0
07,11,10397.0
07,12,12006.0
07,13,12160.0
07,14,12873.0
07,15,14278.0
07,16,14750.0
07,17,12206.0
07,18,10871.0
07,19,12597.0
07,20,11966.0
07,21,12907.0
07,22,14205.0
07,23,15170.0
07,24,12463.0
07,25,11287.0
07,26,13058.0
07,27,13005.0
07,28,14915.0
07,29,15285.0
07,30,15102.0
07,31,12076.0
08,01,11408.0
08,02,12730.0
08,03,11967.0
08,04,12775.0
08,05,14354.0
08,06,16150.0
08,07,13691.0
08,08,11521.0
08,09,12844.0
08,10,13717.0
08,11,13928.0
08,12,14419.0
08,13,14844.0
08,14,12993.0
08,15,11286.0
08,16,12368.0
08,17,11461.0
08,18,12446.0
08,19,14224.0
08,20,16131.0
08,21,13558.0
08,22,12066.0
08,23,13392.0
08,24,13300.0
08,25,14534.0
08,26,15398.0
08,27,15299.0
08,28,12859.0
08,29,11085.0
08,30,13071.0
08,31,12693.0
09,01,13011.0
09,02,14623.0
09,03,16332.0
09,04,12527.0
09,05,11350.0
09,06,11770.0
09,07,12903.0
09,08,13047.0
09,09,14223.0
09,10,15245.0
09,11,11868.0
09,12,11919.0
09,13,14678.0
09,14,14631.0
09,15,15072.0
09,16,16592.0
09,17,18797.0
09,18,14635.0
09,19,13667.0
09,20,13972.0
09,21,13521.0
09,22,14718.0
09,23,16571.0
09,24,19590.0
09,25,16044.0
09,26,12692.0
09,27,12928.0
09,28,12385.0
09,29,13833.0
09,30,15451.0
10,01,17657.0
10,02,14141.0
10,03,14285.0
10,04,15797.0
10,05,17443.0
10,06,16702.0
10,07,17754.0
10,08,20389.0
10,09,16258.0
10,10,12881.0
10,11,15644.0
10,12,16321.0
10,13,15414.0
10,14,16644.0
10,15,18102.0
10,16,15446.0
10,17,15128.0
10,18,16170.0
10,19,15905.0
10,20,15949.0
10,21,17474.0
10,22,18535.0
10,23,14739.0
10,24,13857.0
10,25,15350.0
10,26,14796.0
10,27,15484.0
10,28,17003.0
10,29,18350.0
10,30,13645.0
10,31,12439.0
11,01,15479.0
11,02,15132.0
11,03,16406.0
11,04,17042.0
11,05,17491.0
11,06,12727.0
11,07,11780.0
11,08,14244.0
11,09,14276.0
11,10,16020.0
11,11,15911.0
11,12,17516.0
11,13,12899.0
11,14,11722.0
11,15,15304.0
11,16,15672.0
11,17,16176.0
11,18,18037.0
11,19,18945.0
11,20,13751.0
11,21,11980.0
11,22,13597.0
11,23,14616.0
11,24,13180.0
11,25,7708.0
11,26,12021.0
11,27,15273.0
11,28,14431.0
11,29,18041.0
11,30,17974.0
12,01,18014.0
12,02,18500.0
12,03,19750.0
12,04,14736.0
12,05,13507.0
12,06,16339.0
12,07,16054.0
12,08,16620.0
12,09,18087.0
12,10,19323.0
12,11,14858.0
12,12,11880.0
12,13,14016.0
12,14,15418.0
12,15,17014.0
12,16,18502.0
12,17,18308.0
12,18,13284.0
12,19,10243.0
12,20,13229.0
12,21,12408.0
12,22,11976.0
12,23,10951.0
12,24,8213.0
12,25,4468.0
12,26,7917.0
12,27,10514.0
12,28,11128.0
12,29,11503.0
12,30,11745.0
12,31,11730.0
